benchmark,run,result
quadratic,baseline,785
quadratic,dse,785
primes-between,baseline,574100
primes-between,dse,574100
birthday,baseline,484
birthday,dse,484
orders,baseline,5352
orders,dse,5352
sum-check,baseline,5018
sum-check,dse,5018
palindrome,baseline,298
palindrome,dse,298
totient,baseline,253
totient,dse,253
relative-primes,baseline,1923
relative-primes,dse,1923
hanoi,baseline,99
hanoi,dse,99
is-decreasing,baseline,127
is-decreasing,dse,127
check-primes,baseline,8468
check-primes,dse,8468
sum-sq-diff,baseline,3038
sum-sq-diff,dse,3038
fitsinside,baseline,10
fitsinside,dse,10
fact,baseline,229
fact,dse,229
loopfact,baseline,116
loopfact,dse,116
recfact,baseline,104
recfact,dse,104
factors,baseline,72
factors,dse,72
perfect,baseline,232
perfect,dse,232
bitshift,baseline,167
bitshift,dse,167
digital-root,baseline,247
digital-root,dse,247
up-arrow,baseline,252
up-arrow,dse,252
sum-divisors,baseline,159
sum-divisors,dse,159
ackermann,baseline,1464231
ackermann,dse,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,dse,61518
euclid,baseline,563
euclid,dse,563
binary-fmt,baseline,100
binary-fmt,dse,100
lcm,baseline,2326
lcm,dse,2326
gcd,baseline,46
gcd,dse,46
catalan,baseline,659378
catalan,dse,659378
armstrong,baseline,133
armstrong,dse,133
pascals-row,baseline,146
pascals-row,dse,146
collatz,baseline,169
collatz,dse,169
sum-bits,baseline,73
sum-bits,dse,73
rectangles-area-difference,baseline,14
rectangles-area-difference,dse,14
mod_inv,baseline,558
mod_inv,dse,558
reverse,baseline,46
reverse,dse,46
fizz-buzz,baseline,3652
fizz-buzz,dse,3652
bitwise-ops,baseline,1690
bitwise-ops,dse,1690
cholesky,baseline,3761
cholesky,dse,3761
mat-inv,baseline,1044
mat-inv,dse,1044
dead-branch,baseline,1196
dead-branch,dse,1196
function_call,baseline,59809726
function_call,dse,59809726
ray-sphere-intersection,baseline,142
ray-sphere-intersection,dse,142
conjugate-gradient,baseline,1999
conjugate-gradient,dse,1999
leibniz,baseline,12499997
leibniz,dse,12499997
n_root,baseline,733
n_root,dse,733
newton,baseline,217
newton,dse,217
euler,baseline,1908
euler,dse,1908
riemann,baseline,298
riemann,dse,298
mandelbrot,baseline,2720947
mandelbrot,dse,2720947
norm,baseline,505
norm,dse,505
cordic,baseline,517
cordic,dse,517
pow,baseline,36
pow,dse,36
sqrt,baseline,322
sqrt,dse,322
quickselect,baseline,279
quickselect,dse,279
sieve,baseline,3482
sieve,dse,3482
bubblesort,baseline,253
bubblesort,dse,253
primitive-root,baseline,11029
primitive-root,dse,11029
adler32,baseline,6851
adler32,dse,6851
adj2csr,baseline,56629
adj2csr,dse,56629
csrmv,baseline,121202
csrmv,dse,121202
dot-product,baseline,88
dot-product,dse,88
major-elm,baseline,47
major-elm,dse,47
max-subarray,baseline,193
max-subarray,dse,193
mat-mul,baseline,1990407
mat-mul,dse,1990407
fib,baseline,121
fib,dse,121
vsmul,baseline,86036
vsmul,dse,86036
quicksort-hoare,baseline,27333
quicksort-hoare,dse,27333
quicksort,baseline,264
quicksort,dse,264
two-sum,baseline,98
two-sum,dse,98
eight-queens,baseline,1006454
eight-queens,dse,1006454
binary-search,baseline,78
binary-search,dse,78
